"pintar un mural","intervenir un muro","crear arte en la calle","dar color al barrio","mural colectivo"
"recuperar un espacio","limpiar una esquina","darle vida a un lugar","revivir un parque","rehabitar un espacio olvidado"
"crear una huerta","sembrar en el barrio","agricultura urbana","cultivar colectivamente","huerta comunitaria"
"generar red de apoyo","reunir vecinos","tejer comunidad","conectar personas","crear alianzas"
"organizar un evento","hacer una jornada","proponer una actividad","convocar a otros","crear un espacio colectivo"
"hacer una campaña","movilizar por una causa","comunicar un mensaje","concienciar","crear impacto"
"dar un taller","compartir lo que sé","formar a otros","enseñar en mi comunidad","facilitar procesos"
"documentar la historia local","grabar relatos del barrio","hacer memoria","recoger testimonios"
"transformar basura en arte","reciclar con creatividad","hacer algo con desechos","reutilizar de forma artística"
"crear un medio alternativo","fanzine barrial","podcast local","canal del barrio"
