"pintura","acrílico","acuarela","óleo","temple","pincelada"
"dibujo","lápiz","tinta","carboncillo","boceto","ilustración"
"fotografía","foto","imagen","captura","registro visual"
"video","audiovisual","filmación","grabación","clip","documental"
"escultura","modelado","talla","estructura en 3D","forma física"
"música","sonido","composición","melodía","instrumental","ritmo"
"danza","movimiento","coreografía","baile","expresión corporal"
"teatro","actuación","escenografía","monólogo","representación"
"poesía","verso","poema","texto lírico","prosa poética"
"escritura","narrativa","relato","cuento","palabra escrita"
"performance","arte en vivo","acción escénica","intervención corporal"
"muralismo","grafiti","arte callejero","intervención urbana","pared pintada"
"instalación","arte espacial","intervención de espacio","obra in situ"
"voz","locución","narración oral","cuentería","spoken word"
"digital","interactivo","multimedia","formato virtual","creación en línea"
"manualidades","artesanías","hecho a mano","oficio creativo","producción artesanal"
"moda","vestuario","traje artístico","diseño textil","indumentaria creativa"
"collage","recorte","composición","mezcla visual","ensamblaje de imágenes"
"infografía","comunicación visual","texto e imagen","diseño explicativo"
"radio","podcast","audio arte","programa radial","medio sonoro"
