"compartir espacio","hacerlo en el mismo lugar","trabajar desde el mismo territorio"
"unir ideas","fusionar propuestas","crear algo entre dos o más"
"difusión cruzada","compartir en redes mutuamente","dar a conocer al otro"
"intercambiar recursos","prestar herramientas","trueque de saberes","compartir materiales"
"co-crear","hacer juntos desde el inicio","crear en colectivo","pensar colaborativamente"
"colaboración temporal","trabajar juntos por un rato","unirse para un evento puntual"
"alianza afectiva","confiar en el otro","sostener el proceso","acompañarse"
"alianza pedagógica","enseñar lo que sé","aprender del otro","facilitación compartida"
"alianza de crowdfunding","campaña colectiva","recaudación digital","financiación entre muchos","plataforma de aportes"
"apoyo institucional","alianza con universidades","entidad cultural","respaldo desde organizaciones","convenio institucional"
"convocatoria pública","fondos concursables","proyectos con recursos estatales","participación en estímulos"
"intercambio de servicios","trueque de habilidades","yo te enseño, tú me ayudas","aportar con lo que sé hacer"
"donación de materiales","apoyo en especie","insumos compartidos","recibo herramientas o espacio"
"alianza con marcas locales","apoyo de emprendedores","colaboración con comercios","promoción mutua"
"respaldo logístico","prestación de espacios","transporte compartido","material técnico colaborativo"
"cofinanciación","varias fuentes de dinero","poner recursos entre varios","financiar entre socios"
"mecenazgo colectivo","patrocinio comunitario","apoyo de seguidores","red de sostenibilidad"
"alianza por visibilidad","mencionar en redes","intercambio comunicativo","visibilidad mutua"
"alianza educativa","hacer talleres juntos","coorganizar formación","crear contenido entre organizaciones"
"banco de tiempo","yo te doy horas, tú me das saberes","intercambio por disponibilidad"
"alianza intergeneracional","jóvenes y mayores unidos","saberes cruzados","enlace entre edades"
"alianza artística","colaboración creativa","co-producción estética","creación colectiva de obras"
"alianza transmedia","contenido distribuido","varios formatos","narrativa expandida entre grupos"
"alianza internacional","conectar con otras regiones","colectivos de otros países","intercambio global"
"alianza territorial","procesos del mismo barrio","proyectos del mismo lugar","coordinación zonal"
"alianza espiritual","afinidad de propósito","valores compartidos","conexión profunda más allá del proyecto"
