"solidaridad","apoyo mutuo","ayuda colectiva","colaboración","compañerismo"
"respeto","tolerancia","aceptación","reconocimiento del otro","trato digno"
"empatía","ponerse en los zapatos del otro","comprensión emocional","conexión afectiva"
"inclusión","equidad","diversidad","no discriminación","acceso para todos"
"participación","involucramiento","acción colectiva","voz activa","compromiso ciudadano"
"cooperación","trabajo en equipo","aportar juntos","acción compartida","sinergia"
"escucha activa","diálogo","comunicación abierta","atención consciente","respeto a la palabra"
"autonomía","libertad","autodeterminación","decisión propia","autoorganización"
"justicia social","igualdad de oportunidades","derechos humanos","reparación","equilibrio social"
"cuidado","afecto","protección mutua","responsabilidad afectiva","bienestar compartido"
"confianza","seguridad en el otro","honestidad","transparencia","credibilidad"
"identidad","raíces","sentido de pertenencia","historia colectiva","orgullo cultural"
"reciprocidad","dar y recibir","mutua ayuda","relación justa","equilibrio en el intercambio"
"corresponsabilidad","compromiso compartido","responsabilidad colectiva","tarea común","acción en conjunto"
"resiliencia","resistencia","fortaleza colectiva","superación conjunta","capacidad de adaptación"
